passenger_id;passenger_gender;passenger_age;passenger_nationality;booking_datetime;sales_channel;payment_method;ticket_price;currency;ticket_price_usd_est;bags_total;bags_checked
77e21f8e-6e79-4504-905f-636cea932c06;M;40;PE;15/01/2024 10:09;APP;EFECTIVO;77,60;USD;77.6;0;0
d44ad2a6-091a-49b9-841a-647f006c6f7b;M;42;CU;3/10/2024 08:42;APP;TARJETA;138.8;USD;138.8;1;0
4662a840-f754-403a-9eab-887d5f56b6f7;F;30;PE;14/05/2025 10:03;AEROPUERTO;TRANSFERENCIA;101.3;USD;101.3;1;0
3c53aed2-156e-44e1-9181-9e84437171dc;X;54;GT;03-15-2025 01:58 PM;AEROPUERTO;TRANSFERENCIA;106.55;GTQ;13.64;1;0
273782b1-130d-4e4b-a947-b75769bfaeb5;M;27;CR;30/03/2025 02:22;CALL_CENTER;TARJETA;216.66;EUR;236.16;1;0
90b4a7b6-1f3f-4bf6-aeac-4d287d964c71;F;27;GT;01-20-2024 02:34 PM;WEB;TRANSFERENCIA;69.2;USD;69.2;1;0
6e91fd6c-62ce-4182-8944-dfee8c09fa8b;Masculino;37;MX;10/03/2024 03:09;WEB;PAYPAL;41.69;MXN;2.42;2;1
5e00afce-4c97-45aa-9dd7-114ade2b6ba4;X;11;CR;21/03/2025 08:21;AGENCIA;TARJETA;66,90;USD;66.9;1;0
5ec2a176-1021-4c12-b192-f5a26c27d7be;M;20;SV;6/05/2024 01:01;AEROPUERTO;TARJETA;90.92;USD;90.92;1;0
eba22d5a-5e7b-4dd9-b4f3-f9c0b5b359c5;M;22;CU;8/03/2025 16:54;CALL_CENTER;TRANSFERENCIA;49.68;MXN;2.88;2;1
e2c0910b-2c80-4069-a4ee-126d60a2fc49;M;53;US;29/01/2024 21:18;AEROPUERTO;PAYPAL;75.26;EUR;82.03;2;1
7e4b4028-59eb-49e5-b69d-ed73dfcc6777;F;34;PE;21/04/2024 15:23;WEB;TRANSFERENCIA;66.78;USD;66.78;1;0
21e07948-ceca-4cf7-93ec-df4e955802df;M;26;CU;8/03/2025 02:03;AGENCIA;TARJETA;114.32;GTQ;14.63;1;0
21ebdba7-16cb-4925-81e3-5ba69426a662;Femenino;19;ES;10-21-2024 06:20 AM;AEROPUERTO;TRANSFERENCIA;92.9;USD;92.9;3;2
b02b9caf-10e1-4377-8bdb-135a9ccf910c;F;26;SV;28/09/2024 00:26;CALL_CENTER;PUNTOS;73.55;EUR;80.17;1;0
e17e7f2d-7fcc-41c8-bb9f-7072f42fb70e;m;26;PE;10/04/2025 00:41;APP;TARJETA;155.76;USD;155.76;1;0
2b55128f-ba79-44ed-b532-6e0b923c3a52;F;33;MX;27/09/2024 14:17;APP;PUNTOS;56.25;USD;56.25;2;1
17b4ba01-32a0-41b5-b34b-e6bb9018f748;M;44;GT;22/11/2023 06:41;APP;PAYPAL;71.73;GTQ;9.18;1;0
d31d8eae-32b7-48b1-b64c-ae56e9845cbf;F;36;CR;11/03/2025 08:37;AEROPUERTO;PAYPAL;41.02;GTQ;5.25;0;0
c412d449-b67a-42bc-b23d-f59c13f5ad16;Femenino;16;CO;11/07/2024 00:22;AGENCIA;TRANSFERENCIA;87.26;USD;87.26;2;1
56195096-fe30-47bc-a6de-aa62f3d9281c;M;43;ES;01-31-2025 02:22 PM;APP;TRANSFERENCIA;86.49;USD;86.49;1;0
de70edaa-9a05-4c20-8837-63dfa03d9c81;M;32;MX;18/06/2025 07:53;CALL_CENTER;TARJETA;73.3;MXN;4.25;1;0
4d67f77b-4318-4a9d-bfd4-9b50c2d4ce76;M;14;SV;28/03/2025 11:54;CALL_CENTER;PUNTOS;63.31;USD;63.31;0;0
59176173-a550-473c-a59b-530ddea1e321;F;28;HN;26/05/2025 02:07;WEB;PUNTOS;117.92;USD;117.92;1;0
57ff6a71-ff10-4eff-9f9a-287281b35ed1;M;38;PA;10/12/2024 01:00;AEROPUERTO;TARJETA;43.94;USD;43.94;1;0
fb0354d5-7dcc-4014-903f-6829eb9fb32b;M;38;SV;4/02/2024 03:51;APP;PAYPAL;71.18;EUR;77.59;1;0
ac03d672-7de2-4a6a-b541-cd6e1ed70986;F;25;PE;01-25-2025 11:38 PM;APP;EFECTIVO;100.9;USD;100.9;1;0
878a31e4-1663-4007-a347-883165eda244;F;47;CU;4/10/2024 12:21;AEROPUERTO;PAYPAL;152.33;EUR;166.04;1;0
b1484484-85cb-4601-adaf-c5012df7d5b8;M;23;CR;27/06/2024 14:53;APP;PAYPAL;73.1;MXN;4.24;0;0
a3e40f6c-b025-43df-8449-cd5abf98be1d;M;38;GT;20/04/2024 08:01;WEB;PUNTOS;435.48;GTQ;55.74;2;1
160a23a6-8115-4847-ab03-31ee15df795f;F;27;CO;3/02/2024 08:43;AGENCIA;EFECTIVO;76.33;USD;76.33;2;1
2c610753-e7ee-47fb-8f90-6aeb5591c438;masculino;19;GT;16/05/2025 01:15;AEROPUERTO;EFECTIVO;72.35;GTQ;9.26;1;0
b37ccbf5-c063-4263-8a99-b0c5bbc9793c;M;44;PA;27/03/2025 08:43;AGENCIA;TARJETA;288.05;EUR;313.97;1;0
16e1d9eb-0a12-4e26-9102-5695c2a0671e;Masculino;33;MX;03-13-2025 05:42 PM;APP;TARJETA;115.73;GTQ;14.81;0;0
cb4f6972-510a-4973-bc81-86a3b9d945b8;M;38;PA;12/08/2024 04:27;AEROPUERTO;EFECTIVO;64.99;USD;64.99;1;0
b704cede-87c6-4584-b538-c22841ecf7e2;F;38;PA;9/11/2024 23:43;WEB;TARJETA;139.53;USD;139.53;2;1
a889d979-0c73-44c2-ab45-fbff259afe69;M;33;PE;21/09/2024 18:50;AEROPUERTO;PUNTOS;140.84;GTQ;18.03;1;0
bb56a078-2a9b-4b7f-86b4-6935483c00c7;M;;GT;28/11/2024 02:46;AEROPUERTO;TARJETA;108.6;GTQ;13.9;1;0
8b66a84a-30c4-4da5-bd73-6f8fa4cb669a;M;35;HN;16/01/2024 06:42;AEROPUERTO;TRANSFERENCIA;73.36;USD;73.36;2;1
192b409e-3145-4426-ba04-48c1cfb006c7;F;35;SV;9/01/2024 04:48;AEROPUERTO;PUNTOS;40.62;USD;40.62;2;1
c923aad6-7e47-4ad1-adce-81aeac9b710d;M;31;ES;26/01/2025 02:12;WEB;TRANSFERENCIA;92.29;USD;92.29;1;0
58979d82-08c9-42ac-9006-78158682a4a5;M;53;PA;10-19-2024 05:48 AM;AEROPUERTO;EFECTIVO;67.94;USD;67.94;2;1
42d67ef8-b040-4db4-b516-9966fbf8f582;M;23;CO;03-13-2025 07:54 AM;AEROPUERTO;TARJETA;68.33;GTQ;8.75;1;0
777a4bf6-c7af-4c95-81c5-f64ad8deb98a;M;45;PE;02-19-2025 11:42 PM;APP;PAYPAL;123.36;USD;123.36;2;1
bb56a403-7eb2-4bcb-a318-6873b27ed1ee;M;27;MX;5/01/2024 21:45;AEROPUERTO;EFECTIVO;214.46;MXN;12.44;0;0
32e59c09-72d7-44a4-a8cc-1012e4fccb77;M;35;;27/07/2025 13:23;AEROPUERTO;PAYPAL;114.32;USD;114.32;1;0
8e91f1a6-5b7d-4da6-94b6-de2f2440c0cf;M;24;PA;09-30-2024 05:44 AM;AGENCIA;TRANSFERENCIA;98.05;GTQ;12.55;1;0
15692a30-13d7-4f79-8505-af92ee4f144a;M;28;GT;28/02/2024 17:43;AGENCIA;TRANSFERENCIA;107.36;MXN;6.23;0;0
c62c6b89-fd64-4eeb-b58d-aad1203a0cf0;Femenino;37;MX;05-18-2024 01:50 PM;CALL_CENTER;TARJETA;89.24;GTQ;11.42;2;1
f55b5be0-13a3-4f6c-bf48-934437f5712e;F;34;CR;10/05/2024 16:32;CALL_CENTER;TRANSFERENCIA;75.03;GTQ;9.6;1;0
b88ec5f1-7a72-4041-86bf-7a8ea3d807bb;F;15;MX;06-20-2025 02:04 PM;APP;TRANSFERENCIA;70.3;USD;70.3;0;0
ecf482ed-6211-49fd-bd5b-7c75bb3f9d61;M;29;MX;19/10/2024 19:09;WEB;TARJETA;83,04;USD;83.04;1;0
8f18b0f0-4a93-4562-9777-163d2dc7a93c;M;31;CU;4/04/2025 23:18;APP;PUNTOS;93.82;USD;93.82;1;0
10c8fab7-fce2-4174-8837-62168bbc50d2;M;58;US;17/10/2024 13:33;AGENCIA;PAYPAL;86.58;MXN;5.02;1;0
d4f3410f-242d-4b83-a253-e265faf01720;F;37;CO;12/10/2024 21:06;WEB;PAYPAL;79.36;USD;79.36;1;0
163b1789-f8f3-4510-b83b-a91477205cbd;F;9;HN;17/01/2024 17:31;AEROPUERTO;TRANSFERENCIA;108.95;USD;108.95;3;2
00d57913-4cd1-44e9-a978-329dbce4c43e;F;34;PE;11/08/2025 05:08;WEB;PUNTOS;192.89;EUR;210.25;0;0
6a7c8bd7-c0eb-48fd-82e5-e92bb4ca242f;M;31;ES;20/11/2024 21:31;APP;PAYPAL;90.52;USD;90.52;1;0
42dbc5df-5ed6-467a-9659-a84fb24d5c46;m;33;CR;3/09/2025 19:05;AEROPUERTO;EFECTIVO;54.11;GTQ;6.93;0;0
48b4a92e-6a17-4557-aa35-be7ddfea655d;F;48;GT;3/12/2024 09:47;CALL_CENTER;EFECTIVO;233.13;EUR;254.11;3;2
5d3c820f-97cc-44c0-aee1-a3b2d1337afe;Femenino;44;CU;18/03/2025 14:46;CALL_CENTER;PUNTOS;59.25;USD;59.25;1;0
1c6ee1d0-6ec6-4037-9e43-5ab3e5540787;M;52;MX;15/04/2025 16:51;AEROPUERTO;TRANSFERENCIA;49.87;USD;49.87;1;0
3752c314-e482-4a44-9f22-90d63276e123;f;41;PA;13/07/2025 15:17;APP;PUNTOS;175.33;USD;175.33;1;0
8beb047f-f3e0-411a-b392-9091da752ca2;Masculino;21;CU;20/01/2025 13:45;AGENCIA;TARJETA;146.98;USD;146.98;1;0
e79af89f-c957-4a74-a7fd-7ef0b8413051;F;35;GT;20/03/2025 15:57;CALL_CENTER;PAYPAL;68.29;USD;68.29;1;0
285edbb9-f25b-48f8-969b-b5122aaecff7;M;13;HN;20/03/2025 06:55;CALL_CENTER;EFECTIVO;83,43;USD;83.43;1;0
4199a260-abe0-4515-9a41-84430cb677ba;F;20;CR;8/11/2023 03:07;APP;PAYPAL;96.14;USD;96.14;2;1
e460a8f8-1901-40f8-a399-25eb2224dba2;M;22;PE;29/09/2024 13:20;APP;EFECTIVO;189.16;USD;189.16;1;0
9add96f8-5554-437e-ba30-b912e0e30c93;F;23;SV;1/03/2024 19:57;WEB;PAYPAL;160.09;USD;160.09;1;0
e429af26-4df7-4d35-8146-0db295699cff;M;44;CO;13/08/2025 15:58;AGENCIA;PAYPAL;52,94;USD;52.94;1;0
8259aac7-6fe9-484e-9865-9462cacbd8e7;M;36;SV;17/09/2025 13:17;AEROPUERTO;PUNTOS;173.75;GTQ;22.24;1;0
ba95572e-4f1c-44e8-a045-806bdd0f2140;Femenino;13;CR;6/11/2025 14:18;AGENCIA;PAYPAL;86.89;USD;86.89;1;0
ecbb1d12-5e58-44c6-a53e-0aba43fe10d4;F;37;SV;10/08/2025 06:09;AEROPUERTO;TARJETA;107.09;USD;107.09;2;1
